term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 58.92801373945206 1.874816544285572 
distributing 	 43186.264089448676 0.22695777159731326 
facilitate 	 31700.60250973717 0.22695777159731326 
substantive 	 38670.565575357316 0.22695777159731326 
entrances 	 52897.996721274765 0.22695777159731326 
currently 	 9338.289892424504 0.407655276614473 
responded 	 32543.1444992074 0.22695777159731326 
placing 	 37058.843013298756 0.22695777159731326 
commission 	 3309.499549274965 0.8687963950838536 
cap 	 15590.191881708282 0.5549280754019316 
fares 	 4798.473787716519 1.0706503101601446 
fuss 	 46770.575645124845 0.22695777159731326 
foothold 	 52897.996721274765 0.22695777159731326 
produced 	 23441.30885132596 0.22695777159731326 
improvement 	 25180.227852461077 0.22695777159731326 
bottom 	 15111.92220065739 0.407655276614473 
tune 	 40643.15456897493 0.22695777159731326 
share 	 5431.242420916975 0.6772651892054877 
imposing 	 38670.565575357316 0.22695777159731326 
shattering 	 52897.996721274765 0.22695777159731326 
closings 	 52897.996721274765 0.22695777159731326 
surprisingly 	 38670.565575357316 0.22695777159731326 
reducing 	 14479.416471765613 0.407655276614473 
overrides 	 46770.575645124845 0.22695777159731326 
payments 	 24443.13442943987 0.22695777159731326 
basic 	 18315.713353289953 0.22695777159731326 
ticketing 	 52897.996721274765 0.22695777159731326 
sas 	 23385.287822562423 0.407655276614473 
effectively 	 28958.832943531226 0.22695777159731326 
season 	 15465.710968574422 0.407655276614473 
pass 	 30931.421937148843 0.22695777159731326 
carrier 	 4314.466686603127 1.0118761367923732 
easyjet 	 52897.996721274765 0.22695777159731326 
europe 	 6046.886042663908 0.5549280754019316 
appears 	 29568.729927475877 0.22695777159731326 
valujet 	 52897.996721274765 0.22695777159731326 
approach 	 17969.002249014946 0.22695777159731326 
avoiding 	 32543.1444992074 0.22695777159731326 
quirk 	 52897.996721274765 0.22695777159731326 
structure 	 7734.247610317495 0.407655276614473 
bigger 	 40643.15456897493 0.22695777159731326 
focal 	 40643.15456897493 0.22695777159731326 
channels 	 9462.770805558364 0.5549280754019316 
interaction 	 27347.110381472667 0.22695777159731326 
benefit 	 17473.171363819718 0.22695777159731326 
evolution 	 20288.302346907567 0.22695777159731326 
notably 	 32543.1444992074 0.22695777159731326 
sharpen 	 52897.996721274765 0.22695777159731326 
incumbents 	 52897.996721274765 0.22695777159731326 
broader 	 34515.73349282501 0.22695777159731326 
personalised 	 52897.996721274765 0.22695777159731326 
directly 	 10609.844652661375 0.407655276614473 
tied 	 33474.53145762259 0.22695777159731326 
supplier 	 38670.565575357316 0.22695777159731326 
expert 	 31700.60250973717 0.22695777159731326 
hopefully 	 23385.287822562423 0.407655276614473 
impartial 	 46770.575645124845 0.22695777159731326 
advice 	 13926.195379908906 0.407655276614473 
routings 	 52897.996721274765 0.22695777159731326 
hire 	 33474.53145762259 0.22695777159731326 
franchising 	 23385.287822562423 0.407655276614473 
traveller 	 14395.421363149557 0.5549280754019316 
award 	 26869.15614544343 0.22695777159731326 
sonic 	 52897.996721274765 0.22695777159731326 
purchasing 	 32543.1444992074 0.22695777159731326 
power 	 12735.27084600793 0.22695777159731326 
negotiate 	 17848.0755018129 0.407655276614473 
savings 	 25573.18143358725 0.22695777159731326 
acting 	 14479.416471765613 0.407655276614473 
consolidators 	 52897.996721274765 0.22695777159731326 
reason 	 6913.9116897645035 0.5549280754019316 
serve 	 11270.774916813034 0.407655276614473 
consequently 	 35696.1510036258 0.22695777159731326 
sort 	 43186.264089448676 0.22695777159731326 
shake 	 20321.577284487466 0.407655276614473 
coupled 	 31700.60250973717 0.22695777159731326 
intensive 	 33474.53145762259 0.22695777159731326 
consolidation 	 43186.264089448676 0.22695777159731326 
consortia 	 52897.996721274765 0.22695777159731326 
networks 	 30931.421937148843 0.22695777159731326 
appear 	 25180.227852461077 0.22695777159731326 
surviving 	 30223.84440131478 0.22695777159731326 
aggressively 	 52897.996721274765 0.22695777159731326 
automated 	 34515.73349282501 0.22695777159731326 
niche 	 10796.566022362169 0.6772651892054877 
client 	 13926.195379908906 0.407655276614473 
driven 	 34515.73349282501 0.22695777159731326 
acquisition 	 30931.421937148843 0.22695777159731326 
vusamart 	 10579.599344254953 0.780505348675992 
event's 	 26448.998360637383 0.407655276614473 
dimension 	 46770.575645124845 0.22695777159731326 
kept 	 30223.84440131478 0.22695777159731326 
original 	 21724.9696836679 0.22695777159731326 
marketplace 	 17257.866746412506 0.407655276614473 
intact 	 40643.15456897493 0.22695777159731326 
founder 	 37058.843013298756 0.22695777159731326 
americas 	 10160.788642243733 0.6772651892054877 
richard 	 4134.00014349982 0.8687963950838536 
valerio 	 6612.249590159346 1.0118761367923732 
running 	 7239.708235882807 0.6772651892054877 
mine 	 37058.843013298756 0.22695777159731326 
broadens 	 52897.996721274765 0.22695777159731326 
scope 	 29568.729927475877 0.22695777159731326 
educates 	 52897.996721274765 0.22695777159731326 
trends 	 10862.48484183395 0.407655276614473 
late 	 20512.11176948869 0.22695777159731326 
citing 	 15465.710968574422 0.407655276614473 
speech 	 21988.86987791108 0.22695777159731326 
conference 	 1985.699729564979 1.1228251713993636 
economies 	 35696.1510036258 0.22695777159731326 
patterns 	 10488.74118674991 0.407655276614473 
message 	 14194.156208337548 0.407655276614473 
chew 	 52897.996721274765 0.22695777159731326 
hastings 	 15590.191881708282 0.5549280754019316 
communications 	 3156.709177122688 0.5549280754019316 
brings 	 33474.53145762259 0.22695777159731326 
creditability 	 52897.996721274765 0.22695777159731326 
traditionally 	 34515.73349282501 0.22695777159731326 
outbound 	 13224.499180318691 0.6772651892054877 
reality 	 11415.705933690653 0.407655276614473 
ceo 	 12890.188525119105 0.5549280754019316 
lakshman 	 52897.996721274765 0.22695777159731326 
ratnapala 	 52897.996721274765 0.22695777159731326 
mexican 	 32543.1444992074 0.22695777159731326 
discuss 	 8268.00028699964 0.5549280754019316 
capabilities 	 31700.60250973717 0.22695777159731326 
suited 	 33474.53145762259 0.22695777159731326 
america 	 2885.6479625293405 0.8687963950838536 
remains 	 8805.24114101916 0.5549280754019316 
limited 	 9338.289892424504 0.407655276614473 
lift 	 38670.565575357316 0.22695777159731326 
met 	 9623.550155852568 0.407655276614473 
leaders 	 18315.713353289953 0.22695777159731326 
brazil 	 37058.843013298756 0.22695777159731326 
argentina 	 38670.565575357316 0.22695777159731326 
chile 	 43186.264089448676 0.22695777159731326 
forward 	 25984.418371799704 0.22695777159731326 
planners 	 35696.1510036258 0.22695777159731326 
zealand 	 4117.649223699862 1.0706503101601446 
halls 	 43186.264089448676 0.22695777159731326 
walt 	 38670.565575357316 0.22695777159731326 
disney 	 17848.0755018129 0.407655276614473 
convention 	 5677.66248333502 0.780505348675992 
invited 	 30223.84440131478 0.22695777159731326 
participation 	 24096.423325164866 0.22695777159731326 
notice 	 8956.385381814476 0.5549280754019316 
talking 	 35696.1510036258 0.22695777159731326 
assist 	 26415.723423057483 0.22695777159731326 
identifying 	 34515.73349282501 0.22695777159731326 
qualified 	 33474.53145762259 0.22695777159731326 
india's 	 43186.264089448676 0.22695777159731326 
absence 	 25984.418371799704 0.22695777159731326 
hand 	 10734.359928854174 0.407655276614473 
attended 	 30223.84440131478 0.22695777159731326 
followed 	 12590.113926230539 0.407655276614473 
additional 	 10994.43493895554 0.407655276614473 
graced 	 52897.996721274765 0.22695777159731326 
orlando 	 13224.499180318691 0.6772651892054877 
wish 	 27347.110381472667 0.22695777159731326 
answer 	 27347.110381472667 0.22695777159731326 
press 	 7192.345346669385 0.407655276614473 
remained 	 16271.5722496037 0.407655276614473 
optimistic 	 38670.565575357316 0.22695777159731326 
nation's 	 33474.53145762259 0.22695777159731326 
explode 	 46770.575645124845 0.22695777159731326 
demise 	 37058.843013298756 0.22695777159731326 
country's 	 12786.590716793626 0.407655276614473 
proposal 	 21468.719857708347 0.22695777159731326 
lines 	 10734.359928854174 0.407655276614473 
privately 	 40643.15456897493 0.22695777159731326 
funded 	 28388.312416675097 0.22695777159731326 
approved 	 24443.13442943987 0.22695777159731326 
establishment 	 25573.18143358725 0.22695777159731326 
defended 	 52897.996721274765 0.22695777159731326 
criticism 	 26415.723423057483 0.22695777159731326 
questioned 	 46770.575645124845 0.22695777159731326 
appropriate 	 21219.68930532275 0.22695777159731326 
activity 	 8900.308102737004 0.407655276614473 
evolutionary 	 35696.1510036258 0.22695777159731326 
ignoring 	 37058.843013298756 0.22695777159731326 
suggesting 	 28958.832943531226 0.22695777159731326 
society 	 6709.684476184121 0.407655276614473 
expect 	 17848.0755018129 0.407655276614473 
isolated 	 35696.1510036258 0.22695777159731326 
voice 	 24804.000860998927 0.22695777159731326 
reaction 	 22260.89134052518 0.22695777159731326 
promotion 	 14194.156208337548 0.407655276614473 
disagreed 	 46770.575645124845 0.22695777159731326 
spoken 	 17257.866746412506 0.407655276614473 
loudly 	 52897.996721274765 0.22695777159731326 
attracted 	 21593.132044724338 0.407655276614473 
attention 	 6287.563974052615 0.5549280754019316 
charter 	 35696.1510036258 0.22695777159731326 
continent 	 17257.866746412506 0.407655276614473 
pulling 	 43186.264089448676 0.22695777159731326 
brochure 	 18529.421506649378 0.407655276614473 
canada 	 3855.183597365722 0.8687963950838536 
mexico 	 6295.056963115269 0.6772651892054877 
adjust 	 32543.1444992074 0.22695777159731326 
americans 	 6024.105831291216 0.6772651892054877 
segmentation 	 46770.575645124845 0.22695777159731326 
presentation 	 13673.555190736333 0.407655276614473 
brian 	 40643.15456897493 0.22695777159731326 
deeson 	 10579.599344254953 0.780505348675992 
lesser 	 40643.15456897493 0.22695777159731326 
korea 	 7925.150627434293 0.6772651892054877 
taiwan 	 8135.78612480185 0.6772651892054877 
highlight 	 15590.191881708282 0.5549280754019316 
examples 	 21468.719857708347 0.22695777159731326 
complexity 	 30931.421937148843 0.22695777159731326 
ripples 	 52897.996721274765 0.22695777159731326 
pond 	 43186.264089448676 0.22695777159731326 
firstly 	 52897.996721274765 0.22695777159731326 
radius 	 46770.575645124845 0.22695777159731326 
increasingly 	 25180.227852461077 0.22695777159731326 
remoter 	 52897.996721274765 0.22695777159731326 
sophistication 	 43186.264089448676 0.22695777159731326 
spending 	 29568.729927475877 0.22695777159731326 
increases 	 8956.385381814476 0.5549280754019316 
means 	 7930.724400880581 0.407655276614473 
hits 	 43186.264089448676 0.22695777159731326 
probably 	 26869.15614544343 0.22695777159731326 
relative 	 21468.719857708347 0.22695777159731326 
terms 	 15861.448801761162 0.22695777159731326 
vast 	 29568.729927475877 0.22695777159731326 
frequently 	 22831.411867381306 0.22695777159731326 
overlooked 	 37058.843013298756 0.22695777159731326 
neighbours 	 46770.575645124845 0.22695777159731326 
noted 	 6690.006550536227 0.5549280754019316 
estimated 	 7920.932941932164 0.5549280754019316 
indians 	 33474.53145762259 0.22695777159731326 
middleclass 	 52897.996721274765 0.22695777159731326 
ability 	 18862.691922157846 0.22695777159731326 
lifestyles 	 40643.15456897493 0.22695777159731326 
enormous 	 31700.60250973717 0.22695777159731326 
expenditure 	 43186.264089448676 0.22695777159731326 
appliances 	 40643.15456897493 0.22695777159731326 
cars 	 15465.710968574422 0.407655276614473 
thirdly 	 46770.575645124845 0.22695777159731326 
adding 	 25984.418371799704 0.22695777159731326 
hindrance 	 46770.575645124845 0.22695777159731326 
connections 	 17848.0755018129 0.407655276614473 
upbeat 	 46770.575645124845 0.22695777159731326 
recommencement 	 52897.996721274765 0.22695777159731326 
basis 	 8736.585681909859 0.407655276614473 
linking 	 34515.73349282501 0.22695777159731326 
korean 	 6694.906291524517 0.780505348675992 
america's 	 25573.18143358725 0.22695777159731326 
fashionable 	 46770.575645124845 0.22695777159731326 
desire 	 25573.18143358725 0.22695777159731326 
spread 	 28958.832943531226 0.22695777159731326 
prospects 	 22541.549833626068 0.22695777159731326 
forecast 	 32543.1444992074 0.22695777159731326 
departures 	 46770.575645124845 0.22695777159731326 
varied 	 33474.53145762259 0.22695777159731326 
digit 	 23385.287822562423 0.407655276614473 
sustained 	 43186.264089448676 0.22695777159731326 
termed 	 35696.1510036258 0.22695777159731326 
flirting' 	 52897.996721274765 0.22695777159731326 
capita 	 43186.264089448676 0.22695777159731326 
reach 	 23762.798825796493 0.22695777159731326 
plateau 	 40643.15456897493 0.22695777159731326 
population 	 6105.237784429984 0.5549280754019316 
grew 	 34515.73349282501 0.22695777159731326 
marginally 	 46770.575645124845 0.22695777159731326 
tremendous 	 31700.60250973717 0.22695777159731326 
target 	 33474.53145762259 0.22695777159731326 
segments 	 38670.565575357316 0.22695777159731326 
highlighted 	 21593.132044724338 0.407655276614473 
advanced 	 22260.89134052518 0.22695777159731326 
exceeding 	 40643.15456897493 0.22695777159731326 
doubled 	 40643.15456897493 0.22695777159731326 
habits 	 29568.729927475877 0.22695777159731326 
koreans 	 13224.499180318691 0.6772651892054877 
crowd 	 35696.1510036258 0.22695777159731326 
abroad 	 12590.113926230539 0.407655276614473 
greatly 	 32543.1444992074 0.22695777159731326 
influenced 	 25180.227852461077 0.22695777159731326 
featuring 	 17257.866746412506 0.407655276614473 
reactions 	 26869.15614544343 0.22695777159731326 
canadian 	 6496.104592949926 0.6772651892054877 
randy 	 43186.264089448676 0.22695777159731326 
classic 	 28958.832943531226 0.22695777159731326 
holidays 	 5524.366510765331 0.9451660557641991 
vancouver 	 29568.729927475877 0.22695777159731326 
spiritual 	 26869.15614544343 0.22695777159731326 
effect 	 4647.5328584862555 0.5549280754019316 
belonged 	 20321.577284487466 0.407655276614473 
rim 	 43186.264089448676 0.22695777159731326 
sense 	 21219.68930532275 0.22695777159731326 
belonging 	 34515.73349282501 0.22695777159731326 
cold 	 13207.861711528742 0.407655276614473 
pole 	 40643.15456897493 0.22695777159731326 
sell 	 5036.045570492216 0.780505348675992 
representatives 	 23131.101584194334 0.22695777159731326 
believed 	 8805.24114101916 0.5549280754019316 
paid 	 11720.65442566298 0.407655276614473 
impact 	 5519.290587327564 0.5549280754019316 
influence 	 15215.906608229536 0.22695777159731326 
crucial 	 32543.1444992074 0.22695777159731326 
cynthia 	 23385.287822562423 0.407655276614473 
lau 	 43186.264089448676 0.22695777159731326 
tourlink 	 52897.996721274765 0.22695777159731326 
focuses 	 17635.377749646577 0.22695777159731326 
singaporean 	 17632.665573758255 0.5549280754019316 
surplus 	 38670.565575357316 0.22695777159731326 
dessert 	 52897.996721274765 0.22695777159731326 
raymond 	 38670.565575357316 0.22695777159731326 
chu 	 46770.575645124845 0.22695777159731326 
ontario 	 38670.565575357316 0.22695777159731326 
agreed 	 24096.423325164866 0.22695777159731326 
pulled 	 40643.15456897493 0.22695777159731326 
clientele 	 46770.575645124845 0.22695777159731326 
care 	 17473.171363819718 0.22695777159731326 
price 	 5072.632331911848 0.407655276614473 
month 	 10734.359928854174 0.407655276614473 
renewing 	 52897.996721274765 0.22695777159731326 
membership 	 10734.359928854174 0.407655276614473 
sufficient 	 29568.729927475877 0.22695777159731326 
grace 	 38670.565575357316 0.22695777159731326 
buyers 	 40643.15456897493 0.22695777159731326 
approval 	 14479.416471765613 0.407655276614473 
attempt 	 18315.713353289953 0.22695777159731326 
warren 	 30931.421937148843 0.22695777159731326 
ambience 	 26448.998360637383 0.407655276614473 
gsa 	 46770.575645124845 0.22695777159731326 
wholesaler 	 52897.996721274765 0.22695777159731326 
precise 	 30931.421937148843 0.22695777159731326 
wasted 	 46770.575645124845 0.22695777159731326 
contacts 	 8135.78612480185 0.6772651892054877 
renewed 	 32543.1444992074 0.22695777159731326 
bureaus 	 52897.996721274765 0.22695777159731326 
represented 	 27852.390759817812 0.22695777159731326 
feedback 	 28388.312416675097 0.22695777159731326 
gathering 	 31700.60250973717 0.22695777159731326 
holidays' 	 52897.996721274765 0.22695777159731326 
primary 	 21724.9696836679 0.22695777159731326 
gateways 	 52897.996721274765 0.22695777159731326 
rolland 	 52897.996721274765 0.22695777159731326 
cheng 	 21593.132044724338 0.407655276614473 
san 	 10862.48484183395 0.407655276614473 
francisco 	 12590.113926230539 0.407655276614473 
ground 	 6603.930855764371 0.6772651892054877 
handler 	 26448.998360637383 0.407655276614473 
cancun 	 52897.996721274765 0.22695777159731326 
orleans 	 19335.282787678658 0.407655276614473 
normally 	 34515.73349282501 0.22695777159731326 
coast 	 9856.243309158626 0.5549280754019316 
know 	 3664.8116463185124 0.8687963950838536 
enthusiastic 	 46770.575645124845 0.22695777159731326 
casinos 	 52897.996721274765 0.22695777159731326 
lim 	 23385.287822562423 0.407655276614473 
genting 	 52897.996721274765 0.22695777159731326 
travels 	 17257.866746412506 0.407655276614473 
previous 	 6690.006550536227 0.5549280754019316 
visited 	 10074.61480043826 0.5549280754019316 
los 	 27347.110381472667 0.22695777159731326 
angeles 	 28958.832943531226 0.22695777159731326 
las 	 40643.15456897493 0.22695777159731326 
vegas 	 46770.575645124845 0.22695777159731326 
attendance 	 35696.1510036258 0.22695777159731326 
york 	 7307.156996571799 0.407655276614473 
california 	 22831.411867381306 0.22695777159731326 
brought 	 23131.101584194334 0.22695777159731326 
follow 	 23131.101584194334 0.22695777159731326 
kim 	 17848.0755018129 0.407655276614473 
sun 	 27852.390759817812 0.22695777159731326 
times 	 7192.345346669385 0.407655276614473 
seoul 	 15590.191881708282 0.5549280754019316 
opinions 	 27852.390759817812 0.22695777159731326 
common 	 15861.448801761162 0.22695777159731326 
disappointed 	 46770.575645124845 0.22695777159731326 
hoped 	 38670.565575357316 0.22695777159731326 
attend 	 15111.92220065739 0.407655276614473 
manila 	 17632.665573758255 0.5549280754019316 
peso 	 23385.287822562423 0.407655276614473 
cavite 	 52897.996721274765 0.22695777159731326 
developer 	 23385.287822562423 0.407655276614473 
fil 	 52897.996721274765 0.22695777159731326 
estate 	 26869.15614544343 0.22695777159731326 
aquarium 	 52897.996721274765 0.22695777159731326 
retail 	 33474.53145762259 0.22695777159731326 
centres 	 46770.575645124845 0.22695777159731326 
museums 	 43186.264089448676 0.22695777159731326 
dedicated 	 34515.73349282501 0.22695777159731326 
philippine 	 14395.421363149557 0.5549280754019316 
themed 	 52897.996721274765 0.22695777159731326 
modules 	 43186.264089448676 0.22695777159731326 
displaying 	 52897.996721274765 0.22695777159731326 
spanish 	 24804.000860998927 0.22695777159731326 
settings 	 31700.60250973717 0.22695777159731326 
asiaworld 	 52897.996721274765 0.22695777159731326 
internationale 	 52897.996721274765 0.22695777159731326 
calatagan 	 52897.996721274765 0.22695777159731326 
batangas 	 52897.996721274765 0.22695777159731326 
bangkok 	 10579.599344254953 0.780505348675992 
inclusive 	 21593.132044724338 0.407655276614473 
deals 	 19247.100311705137 0.22695777159731326 
agents' 	 26448.998360637383 0.407655276614473 
top 	 4128.634808594427 0.407655276614473 
asta 	 13224.499180318691 0.6772651892054877 
jeanne 	 43186.264089448676 0.22695777159731326 
epping 	 26448.998360637383 0.407655276614473 
observations 	 27347.110381472667 0.22695777159731326 
prepared 	 8524.39381119575 0.5549280754019316 
congress 	 2898.328906701081 0.9451660557641991 
biggest 	 28958.832943531226 0.22695777159731326 
obstacle 	 40643.15456897493 0.22695777159731326 
overcome 	 34515.73349282501 0.22695777159731326 
flight 	 10310.473979049613 0.5549280754019316 
region's 	 40643.15456897493 0.22695777159731326 
ships 	 35696.1510036258 0.22695777159731326 
pricing 	 8368.632864405647 0.6772651892054877 
hawaiian 	 40643.15456897493 0.22695777159731326 
caribbean 	 40643.15456897493 0.22695777159731326 
asia's 	 26448.998360637383 0.407655276614473 
claims 	 21988.86987791108 0.22695777159731326 
experienced 	 10725.144640998287 0.22695777159731326 
hosting 	 46770.575645124845 0.22695777159731326 
natalie 	 52897.996721274765 0.22695777159731326 
opting 	 52897.996721274765 0.22695777159731326 
jump 	 52897.996721274765 0.22695777159731326 
chang 	 9667.641393839329 0.6772651892054877 
theng 	 52897.996721274765 0.22695777159731326 
hwee 	 52897.996721274765 0.22695777159731326 
managing 	 6694.906291524517 0.780505348675992 
population's 	 52897.996721274765 0.22695777159731326 
benny 	 43186.264089448676 0.22695777159731326 
hip 	 40643.15456897493 0.22695777159731326 
trend 	 26415.723423057483 0.22695777159731326 
contributed 	 15850.301254868586 0.407655276614473 
dollars 	 15465.710968574422 0.407655276614473 
save 	 29568.729927475877 0.22695777159731326 
indigenous 	 35696.1510036258 0.22695777159731326 
extras 	 52897.996721274765 0.22695777159731326 
game 	 28388.312416675097 0.22695777159731326 
meals 	 23385.287822562423 0.407655276614473 
cooks 	 52897.996721274765 0.22695777159731326 
exclusiveness 	 52897.996721274765 0.22695777159731326 
hygiene 	 40643.15456897493 0.22695777159731326 
consumers' 	 46770.575645124845 0.22695777159731326 
tastes 	 40643.15456897493 0.22695777159731326 
cheap 	 40643.15456897493 0.22695777159731326 
affects 	 23441.30885132596 0.22695777159731326 
aim 	 29568.729927475877 0.22695777159731326 
key 	 7734.247610317495 0.407655276614473 
upmarket 	 52897.996721274765 0.22695777159731326 
category 	 25984.418371799704 0.22695777159731326 
slowdown 	 20321.577284487466 0.407655276614473 
affected 	 22260.89134052518 0.22695777159731326 
afford 	 37058.843013298756 0.22695777159731326 
danger 	 32543.1444992074 0.22695777159731326 
lay 	 31700.60250973717 0.22695777159731326 
abuse 	 22541.549833626068 0.22695777159731326 
adventure' 	 52897.996721274765 0.22695777159731326 
carry 	 25573.18143358725 0.22695777159731326 
practices 	 19052.80677631116 0.22695777159731326 
cited 	 10566.867503245723 0.5549280754019316 
trekkers 	 52897.996721274765 0.22695777159731326 
himalayas 	 52897.996721274765 0.22695777159731326 
firewood 	 52897.996721274765 0.22695777159731326 
kerosene 	 52897.996721274765 0.22695777159731326 
contributing 	 27347.110381472667 0.22695777159731326 
deforestation 	 43186.264089448676 0.22695777159731326 
equatorial 	 10796.566022362169 0.6772651892054877 
millenium 	 23385.287822562423 0.407655276614473 
sirih 	 52897.996721274765 0.22695777159731326 
cdl 	 52897.996721274765 0.22695777159731326 
majority 	 21988.86987791108 0.22695777159731326 
ownership 	 29568.729927475877 0.22695777159731326 
tanah 	 52897.996721274765 0.22695777159731326 
abang 	 52897.996721274765 0.22695777159731326 
operators' 	 52897.996721274765 0.22695777159731326 
contracts 	 26869.15614544343 0.22695777159731326 
agreements 	 24096.423325164866 0.22695777159731326 
honoured 	 46770.575645124845 0.22695777159731326 
alfred 	 29568.729927475877 0.22695777159731326 
portenschlager 	 26448.998360637383 0.407655276614473 
affiliated 	 46770.575645124845 0.22695777159731326 
receiving 	 28958.832943531226 0.22695777159731326 
termination 	 34515.73349282501 0.22695777159731326 
millenium's 	 52897.996721274765 0.22695777159731326 
revealed 	 30223.84440131478 0.22695777159731326 
team 	 12590.113926230539 0.407655276614473 
starting 	 25984.418371799704 0.22695777159731326 
joseph 	 27852.390759817812 0.22695777159731326 
khong 	 52897.996721274765 0.22695777159731326 
installed 	 43186.264089448676 0.22695777159731326 
replacing 	 34515.73349282501 0.22695777159731326 
klaus 	 34515.73349282501 0.22695777159731326 
doehling 	 52897.996721274765 0.22695777159731326 
santika 	 26448.998360637383 0.407655276614473 
third 	 8984.501124507473 0.407655276614473 
grand 	 29568.729927475877 0.22695777159731326 
metro 	 30931.421937148843 0.22695777159731326 
tokyo 	 38670.565575357316 0.22695777159731326 
nippon 	 46770.575645124845 0.22695777159731326 
claiming 	 31700.60250973717 0.22695777159731326 
acclaim 	 46770.575645124845 0.22695777159731326 
class 	 4492.2505622537365 0.6772651892054877 
introduction 	 9070.329063995861 0.407655276614473 
seat 	 9667.641393839329 0.6772651892054877 
tech 	 33474.53145762259 0.22695777159731326 
aeroplane 	 52897.996721274765 0.22695777159731326 
maker 	 33474.53145762259 0.22695777159731326 
sicma 	 52897.996721274765 0.22695777159731326 
designed 	 8351.995395615697 0.407655276614473 
recline 	 52897.996721274765 0.22695777159731326 
degrees 	 24804.000860998927 0.22695777159731326 
touch 	 30223.84440131478 0.22695777159731326 
button 	 10576.569715081476 0.22695777159731326 
aptly 	 52897.996721274765 0.22695777159731326 
aboard 	 30931.421937148843 0.22695777159731326 
cabins 	 52897.996721274765 0.22695777159731326 
b747 	 52897.996721274765 0.22695777159731326 
haul 	 21593.132044724338 0.407655276614473 
spokesman 	 27347.110381472667 0.22695777159731326 
load 	 11505.244497608337 0.5549280754019316 
factors 	 8278.935880991346 0.407655276614473 
risen 	 52897.996721274765 0.22695777159731326 
previously 	 27347.110381472667 0.22695777159731326 
auckland 	 46770.575645124845 0.22695777159731326 
zealand's 	 52897.996721274765 0.22695777159731326 
buy 	 13926.195379908906 0.407655276614473 
ansett 	 10579.599344254953 0.780505348675992 
australasian 	 52897.996721274765 0.22695777159731326 
step 	 7073.229768440917 0.5549280754019316 
jim 	 28958.832943531226 0.22695777159731326 
mccrea 	 17632.665573758255 0.5549280754019316 
assuming 	 40643.15456897493 0.22695777159731326 
australian 	 8637.252817889736 0.780505348675992 
review 	 11926.992465324784 0.22695777159731326 
endorsement 	 43186.264089448676 0.22695777159731326 
shareholders 	 43186.264089448676 0.22695777159731326 
governments 	 11130.44567026259 0.407655276614473 
consider 	 25180.227852461077 0.22695777159731326 
harmonisation 	 52897.996721274765 0.22695777159731326 
rationalisation 	 52897.996721274765 0.22695777159731326 
rules 	 20512.11176948869 0.22695777159731326 
trans 	 43186.264089448676 0.22695777159731326 
tasman 	 26448.998360637383 0.407655276614473 
progressively 	 40643.15456897493 0.22695777159731326 
deregulated 	 52897.996721274765 0.22695777159731326 
wholly 	 38670.565575357316 0.22695777159731326 
domestically 	 43186.264089448676 0.22695777159731326 
operate 	 13434.578072721715 0.407655276614473 
freely 	 30223.84440131478 0.22695777159731326 
sea 	 21219.68930532275 0.22695777159731326 
other's 	 43186.264089448676 0.22695777159731326 
arrangement 	 31700.60250973717 0.22695777159731326 
sharing 	 28958.832943531226 0.22695777159731326 
australia's 	 26448.998360637383 0.407655276614473 
involved 	 16557.871761982693 0.22695777159731326 
expansion 	 20977.48237349982 0.22695777159731326 
flies 	 20321.577284487466 0.407655276614473 
japan 	 11270.774916813034 0.407655276614473 
delighted 	 40643.15456897493 0.22695777159731326 
sunk 	 43186.264089448676 0.22695777159731326 
spent 	 27347.110381472667 0.22695777159731326 
excess 	 34515.73349282501 0.22695777159731326 
integrate 	 43186.264089448676 0.22695777159731326 
fleet 	 37058.843013298756 0.22695777159731326 
margie 	 26448.998360637383 0.407655276614473 
logarta 	 26448.998360637383 0.407655276614473 
adelaide 	 52897.996721274765 0.22695777159731326 
map 	 23441.30885132596 0.22695777159731326 
opera 	 10566.867503245723 0.5549280754019316 
flinders 	 26448.998360637383 0.407655276614473 
ranges 	 21593.132044724338 0.407655276614473 
lure 	 26448.998360637383 0.407655276614473 
unknown 	 11158.17715254086 0.5549280754019316 
territory 	 33474.53145762259 0.22695777159731326 
concert 	 35696.1510036258 0.22695777159731326 
staged 	 19335.282787678658 0.407655276614473 
mark 	 29568.729927475877 0.22695777159731326 
bicentennial 	 52897.996721274765 0.22695777159731326 
audience 	 31700.60250973717 0.22695777159731326 
dame 	 38670.565575357316 0.22695777159731326 
kiri 	 52897.996721274765 0.22695777159731326 
kanawa 	 52897.996721274765 0.22695777159731326 
seats 	 43186.264089448676 0.22695777159731326 
reserved 	 9801.252384176583 0.22695777159731326 
spectacle 	 46770.575645124845 0.22695777159731326 
yalkarinha 	 52897.996721274765 0.22695777159731326 
gorge 	 52897.996721274765 0.22695777159731326 
magnificent 	 46770.575645124845 0.22695777159731326 
hills 	 43186.264089448676 0.22695777159731326 
towering 	 52897.996721274765 0.22695777159731326 
gum 	 52897.996721274765 0.22695777159731326 
trees 	 28958.832943531226 0.22695777159731326 
stunning 	 43186.264089448676 0.22695777159731326 
colourful 	 43186.264089448676 0.22695777159731326 
activities 	 15861.448801761162 0.22695777159731326 
rides 	 52897.996721274765 0.22695777159731326 
pichi 	 52897.996721274765 0.22695777159731326 
richi 	 52897.996721274765 0.22695777159731326 
